timestamp,open,high,low,close,volume
2023-01-01 00:00:00,100.0,110.0,90.0,105.0,1000
2023-01-02 00:00:00,105.0,115.0,95.0,110.0,1200
2023-01-03 00:00:00,110.0,120.0,100.0,115.0,1100
2023-01-04 00:00:00,115.0,125.0,105.0,120.0,1300
2023-01-05 00:00:00,120.0,130.0,110.0,125.0,1400
2023-01-06 00:00:00,125.0,135.0,115.0,130.0,1500
2023-01-07 00:00:00,130.0,140.0,120.0,135.0,1600
2023-01-08 00:00:00,135.0,145.0,125.0,140.0,1700
2023-01-09 00:00:00,140.0,150.0,130.0,145.0,1800
2023-01-10 00:00:00,145.0,155.0,135.0,150.0,1900
